Part number,Part name,Location,Price,Balance,Unit,Value,WH
203785,Shaft D70 tilt front X20/26 Cromax,050301,40.58,1.00,Pcs,40.58,STD
203787,Shaft D50 tilt front X12 Cromax,810406,24.18,2.00,Pcs,48.36,STD
203900,Cover Tilt Cyl WU X04/X06/X07,030101,17.03,5.00,Pcs,85.15,STD
203900,Cover Tilt Cyl WU X04/X06/X07,QUARANTINE,17.03,1.00,Pcs,17.03,STD
203967,Hydraulic Block Tilt X04/X06/X07NewCyl,800606,50.25,2.00,Pcs,100.50,STD
203987,Shaft D35 Tilt X04 Cromax,050201,24.56,3.00,Pcs,73.68,STD
203989,Motor Cover X04/X06+ WU,030101,55.93,5.00,Pcs,279.65,STD
204085,Guiding Pin Tilt dia20 f7,810603,1.37,48.00,Pcs,65.76,STD
204085,Guiding Pin Tilt dia20 f7,QUARANTINE,1.37,2.00,Pcs,2.74,STD
204364,Swivel Unit X04/X06+/X07,050301,204.87,5.00,Pcs,"1,024.35",STD
204766,"Shims Flange X18 2333 0,3mm",800502,7.81,7.00,Pcs,54.67,STD
204767,"Shims Flange X18 2333 0,5mm",800502,5.93,16.00,Pcs,94.88,STD
204768,Shims Flange X18 2333 1mm,800502,2.76,5.00,Pcs,13.80,STD
205232,"Shims X12 AC -2333 0,2 mm",030102,5.22,10.00,Pcs,52.20,STD
205526,Bearing Axial X07,800602,35.31,2.00,Pcs,70.62,STD
205528,Shaft Tilt Cylinder X07,800503,20.51,2.00,Pcs,41.02,STD
205707,UC X18 B20 WU w bushings,020601,"1,496.60",1.00,Pcs,"1,496.60",STD
205776,Bearing Segment X07,030102,22.61,1.00,PR,22.61,STD
205778,"Shims Bearing X07 2333 0,2",810604,5.68,3.00,Pcs,17.04,STD
205793,Gripper Arm Single X07 FPL w bushings,040201,96.41,2.00,Pcs,192.82,STD
205794,Gripper Arm Double X07 FPL w bushings,040201,123.51,3.00,Pcs,370.53,STD
206059,"Bearing Slide 60,5x105x2,5",050301,7.36,8.00,Pcs,58.88,STD
206313,"Axial shims X18 0,3mm",********,4.78,1.00,Pcs,4.78,STD
206314,"Shims Axial X18 0,2mm",030102,22.83,4.00,Pcs,91.32,STD
206404,Beam Cyl Conn QC S45-50 FPL,810505,44.13,1.00,Pcs,44.13,STD
